[5, 0.3, 3, 61]
[5, 0.3, 3, 21]
[5, 0.3, 11, 21]
[5, 0.3, 11, 41]
[5, 0.3, 11, 81]
[5, 0.3, 21, 41]
[5, 0.3, 21, 81]
[5, 0.3, 41, 61]
[5, 0.3, 41, 81]
[5, 0.4, 3, 21]
[5, 0.4, 3, 81]
[5, 0.4, 11, 21]
[5, 0.4, 11, 41]
[5, 0.4, 41, 61]
[5, 0.4, 41, 81]
[5, 0.5, 3, 61]
[5, 0.5, 3, 21]
[5, 0.5, 3, 41]
[5, 0.5, 21, 61]
[5, 0.5, 21, 41]
[5, 0.5, 21, 81]
[5, 0.6, 3, 41]
[5, 0.6, 11, 61]
[5, 0.6, 11, 21]
[5, 0.6, 11, 41]
[5, 0.6, 11, 81]
[5, 0.6, 21, 61]
[5, 0.6, 21, 81]
[5, 0.6, 41, 81]
[11, 0.3, 3, 61]
[11, 0.3, 3, 21]
[11, 0.3, 3, 81]
[11, 0.3, 11, 21]
[11, 0.3, 11, 81]
[11, 0.3, 21, 41]
[11, 0.3, 21, 81]
[11, 0.3, 41, 61]
[11, 0.4, 3, 61]
[11, 0.4, 11, 61]
[11, 0.4, 11, 81]
[11, 0.4, 21, 61]
[11, 0.4, 21, 41]
[11, 0.4, 41, 81]
[11, 0.5, 3, 21]
[11, 0.5, 3, 81]
[11, 0.5, 11, 81]
[11, 0.5, 21, 41]
[11, 0.5, 41, 61]
[11, 0.5, 41, 81]
[11, 0.6, 3, 61]
[11, 0.6, 3, 21]
[11, 0.6, 3, 81]
[11, 0.6, 11, 61]
[11, 0.6, 11, 81]
[11, 0.6, 21, 61]
[11, 0.6, 41, 61]
[15, 0.3, 3, 21]
[15, 0.3, 11, 21]
[15, 0.3, 11, 81]
[15, 0.3, 21, 61]
[15, 0.3, 41, 61]
[15, 0.4, 3, 21]
[15, 0.4, 3, 41]
[15, 0.4, 11, 41]
[15, 0.4, 11, 81]
[15, 0.4, 21, 41]
[15, 0.4, 21, 81]
[15, 0.4, 41, 81]
[15, 0.5, 3, 61]
[15, 0.5, 3, 41]
[15, 0.5, 11, 41]
[15, 0.5, 11, 81]
[15, 0.5, 21, 61]
[15, 0.5, 21, 41]
[15, 0.5, 21, 81]
[15, 0.5, 41, 61]
[15, 0.6, 3, 21]
[15, 0.6, 11, 61]
[15, 0.6, 11, 21]
[15, 0.6, 21, 41]
[15, 0.6, 41, 61]
[15, 0.6, 41, 81]
[21, 0.3, 3, 61]
[21, 0.3, 11, 61]
[21, 0.3, 11, 21]
[21, 0.3, 11, 41]
[21, 0.3, 11, 81]
[21, 0.3, 21, 41]
[21, 0.3, 21, 81]
[21, 0.3, 41, 61]
[21, 0.4, 11, 61]
[21, 0.4, 11, 21]
[21, 0.4, 11, 41]
[21, 0.4, 11, 81]
[21, 0.4, 41, 61]
[21, 0.4, 41, 81]
[21, 0.5, 11, 21]
[21, 0.5, 21, 41]
[21, 0.6, 3, 21]
[21, 0.6, 11, 21]
